Fare_Per_Person,Sex_male,Ticket,Fare,SibSp,Survived
3.625,True,A/5 21171,7.25,1,0
32.8172,False,PC 17599,65.6344,1,1
7.925,False,STON/O2. 3101282,7.925,0,1
26.55,False,113803,53.1,1,1
8.05,True,373450,8.05,0,0
8.4583,True,330877,8.4583,0,0
51.8625,True,17463,51.8625,0,0
4.215,True,349909,21.075,3,0
3.7111,False,347742,11.1333,0,1
15.0354,False,237736,30.0708,1,1
5.566666666666666,False,PP 9549,16.7,1,1
26.55,False,113783,26.55,0,1
8.05,True,A/5. 2151,8.05,0,0
4.4678571428571425,True,347082,31.275,1,0
7.8542,False,350406,7.8542,0,0
16.0,False,248706,16.0,0,1
4.854166666666667,True,382652,29.125,4,0
13.0,True,244373,13.0,0,1
9.0,False,345763,18.0,1,0
7.225,False,2649,7.225,0,1
26.0,True,239865,26.0,0,0
13.0,True,248698,13.0,0,1
8.0292,False,330923,8.0292,0,1
35.5,True,113788,35.5,0,1
4.215,False,349909,21.075,3,0
4.483928571428572,False,347077,31.3875,1,1
7.225,True,2631,7.225,0,0
10.939066666666667,True,19950,65.6344,3,0
7.8792,False,330959,7.8792,0,1
7.8958,True,349216,7.8958,0,0
27.7208,True,PC 17601,27.7208,0,0
32.8172,False,PC 17569,65.6344,1,1
7.75,False,335677,7.75,0,1
10.5,True,C.A. 24579,10.5,0,0
32.8172,True,PC 17604,65.6344,1,0
26.0,True,113789,52.0,1,0
7.2292,True,2677,7.2292,0,1
8.05,True,A./5. 2152,8.05,0,0
6.0,False,345764,18.0,2,0
5.62085,False,2651,11.2417,1,1
4.7375,False,7546,9.475,1,0
10.5,False,11668,21.0,1,0
7.8958,True,349253,7.8958,0,0
10.3948,False,SC/Paris 2123,41.5792,1,1
7.8792,False,330958,7.8792,0,1
8.05,True,S.C./A.4. 23567,8.05,0,0
7.75,True,370371,15.5,1,0
7.75,False,14311,7.75,0,1
7.226400000000001,True,2662,21.6792,2,0
8.9,False,349237,17.8,1,0
6.614583333333333,True,3101295,39.6875,4,0
7.8,True,A/4. 39886,7.8,0,0
32.8172,False,PC 17572,65.6344,1,1
13.0,False,2926,26.0,1,1
30.9896,True,113509,61.9792,0,0
35.5,True,19947,35.5,0,1
10.5,False,C.A. 31026,10.5,0,1
7.2292,True,2697,7.2292,0,0
6.9375,False,C.A. 34651,27.75,1,1
5.8625,True,CA 2144,46.9,5,0
7.2292,True,2669,7.2292,0,0
65.6344,False,113572,65.6344,0,1
32.8172,True,36973,65.6344,1,0
4.6499999999999995,True,347088,27.9,3,0
27.7208,True,PC 17605,27.7208,0,0
5.081933333333333,True,2661,15.2458,1,1
10.5,False,C.A. 29395,10.5,0,1
8.1583,True,S.P. 3464,8.1583,0,0
1.1321428571428571,False,3101281,7.925,4,1
2.8874999999999997,True,315151,8.6625,2,0
10.5,True,C.A. 33111,10.5,0,0
5.8625,False,CA 2144,46.9,5,0
65.6344,True,S.O.C. 14879,65.6344,0,0
7.2271,True,2680,14.4542,1,0
56.4958,True,1601,56.4958,0,1
7.65,True,348123,7.65,0,0
7.8958,True,349208,7.8958,0,0
8.05,True,374746,8.05,0,0
9.666666666666666,True,248738,29.0,0,1
12.475,False,364516,12.475,0,1
9.0,True,345767,9.0,0,0
9.5,True,345779,9.5,0,1
7.7875,False,330932,7.7875,0,1
47.1,True,113059,47.1,0,0
10.5,False,SO/C 14885,10.5,0,1
3.9625,False,3101278,15.85,3,1
6.875,True,W./C. 6608,34.375,1,0
8.05,True,SOTON/OQ 392086,8.05,0,0
10.939066666666667,False,19950,65.6344,3,1
8.05,True,343275,8.05,0,0
8.05,True,343276,8.05,0,0
7.8542,True,347466,7.8542,0,0
30.5875,True,W.E.P. 5734,61.175,1,0
5.14375,True,C.A. 2315,20.575,1,0
7.25,True,364500,7.25,0,0
8.05,True,374910,8.05,0,0
34.6542,True,PC 17754,34.6542,0,0
31.67915,True,PC 17759,63.3583,0,1
11.5,False,231919,23.0,0,1
13.0,True,244367,26.0,1,0
7.8958,False,349245,7.8958,0,0
7.8958,True,349215,7.8958,0,0
32.8172,True,35281,65.6344,0,0
8.6542,True,7540,8.6542,0,0
2.6416666666666666,True,3101276,7.925,2,0
7.8958,True,349207,7.8958,0,0
7.65,False,343120,7.65,0,1
7.775,True,312991,7.775,0,1
7.8958,True,349249,7.8958,0,0
12.075,False,371110,24.15,1,1
52.0,True,110465,52.0,0,0
7.2271,False,2665,14.4542,1,0
8.05,True,324669,8.05,0,0
4.9125,False,4136,9.825,1,0
14.4583,False,2627,14.4583,0,0
7.925,True,STON/O 2. 3101294,7.925,0,0
7.75,True,370369,7.75,0,0
10.5,True,11668,21.0,1,0
32.8172,True,PC 17558,65.6344,0,0
